Nom;Pré-Requis;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Munitions magnétiques (6);Identifiant* blanc;Infligent des dégâts de type ''perce'';120;30;Beryllium (2);10 minutes OU 1 Downtime pour jusqu'à 3 paquets (18);10;1;3
Munitions incendiaires (6);Identifiant* rouge;Infligent des dégâts de type ''brûle'';150;10;Thermite;10 minutes OU 1 Downtime pour jusqu'à 3 paquets (18);10;1;3
Munitions cryogéniques (6);Identifiant* bleu;Infligent des dégâts de type ''cryo'';150;30;Cryofluide (2);10 minutes OU 1 Downtime pour jusqu'à 3 paquets (18);10;1;3
Munitions voltaïques (6);Identifiant* vert;Infligent des dégâts de type ''choc'';150;10;Batterie;10 minutes OU 1 Downtime pour jusqu'à 3 paquets (18);10;1;3
Munitions antimatérielles (6);Identifiant* jaune;"Après trois tirs, ces munitions détruisent un bouclier (effet ""Brise-bouclier! Ton bouclier est détruit!""";150;35;Uranium (4);10 minutes OU 1 Downtime pour jusqu'à 3 paquets (18);10;1;3
Grenade à fragmentation;Grenade + identifiant jaune;Explose 1 seconde après impact pour 4 dégâts sur un rayon de 3 mètres;200;50;Explosif;15 minutes OU 1 Downtime pour jusqu'à 3 grenades;15;1;3
Grenade magnétisée;Grenade + identifiant blanc;Explose 1 seconde après impact pour un effet ''Magnétique! Désarmement! Lancez vos armes sur la grenade !'' sur un rayon de 5 mètres;200;50;Batterie;15 minutes OU 1 Downtime pour jusqu'à 3 grenades;15;1;3
Grenade chimique;Grenade + identifiant orange;Permet d'affecter un rayon de 3 mètres avec une Toxine. Charger la Toxine dans la grenade prend 1 minute hors combat. Elle doit être utilisée dans les 30 prochaines minutes sans quoi elle est rendue inactive. La Toxine est relâchée 3 secondes après impact pour un effet variable selon le produit ajouté (consulter l'équipe d'animation préalablement). Ne peut pas être utilisée pour concevoir un Missile. ;200;20;Zirconium (4);15 minutes OU 1 Downtime pour jusqu'à 3 grenades;15;1;3
Grenade incendiaire;Grenade + identifiant rouge;Explose 1 seconde après impact pour 3 dégâts ''brûle'' sur un rayon de 2 mètres;250;30;Carburant (3) + Base;15 minutes OU 1 Downtime pour jusqu'à 3 grenades;15;1;3
Grenade électromagnétique;Grenade + identifiant vert;Explose 1 seconde après impact pour 3 dégâts ''choc'' sur un rayon de 2 mètres;250;5;Supraconducteur;15 minutes OU 1 Downtime pour jusqu'à 3 grenades;15;1;3
Grenade cryogénique;Grenade + identifiant bleu; Explose 1 seconde après impact pour 3 dégâts ''cryo'' sur un rayon de 2 mètres;250;20;Cryofluide (2) + Platine (3);15 minutes OU 1 Downtime pour jusqu'à 3 grenades;15;1;3
Grenade aveuglante;Grenade + identifiant jaune et blanc;Explose 1 seconde après impact pour un effet ''Aveuglement! pendant 15 secondes'' sur un rayon de 5 mètres;300;5;Platine (3) + Base + Explosif;15 minutes OU 1 Downtime pour jusqu'à 3 grenades;15;1;3
Grenade thermique;Grenade + identifiant jaune et rouge;Explose à l'impact pour 6 dégâts ''brûle'' sur une cible (contact);300;20;Thermite (2);15 minutes OU 1 Downtime pour jusqu'à 3 grenades;15;1;3
Grenade collante;Grenade + identifiant jaune et bleu;Explose 1 seconde après impact pour un effet ''Pieds collés au sol pendant 30 secondes'' sur un rayon de 3 mètres;300;30;Thermoplastique (3) + Acide (2);15 minutes OU 1 Downtime pour jusqu'à 3 grenades;15;1;3
Grenade sonique;Grenade + identifiant jaune et vert; Explose 1 seconde après impact pour 3 dégâts et un effet ''Assourdissement! pendant 30 secondes'' sur un rayon de 3 mètres;300;20;Explosif (2) ;15 minutes OU 1 Downtime pour jusqu'à 3 grenades;15;1;3
Grenade à impulsion;Grenade + identifiant bleu et vert;Explose à l'impact pour un effet ''Magnétique! Équipement défectueux pendant 30 secondes'' sur un rayon de 3 mètres.;300;25;Logiciel (2) + Batterie;15 minutes OU 1 Downtime pour jusqu'à 3 grenades;15;1;3
Bombe;Objet représentant la bombe;Modifie une grenade. Activation à vue ou avec l'aide d'un compte à rebours. Les dégâts et la zone d'effet sont doublés. Placer une bombe requiert 1 minute de travail ininterrompu. ;200;-;Logiciel + Explosif;15 minutes OU 1 Downtime;15;1;1
Missile;Objet représentant le missile;Modifie une grenade. Utilisable seulement avec un lance-missile, genou à terre, après 5 secondes de visée immobile. Touche une cible à vue. Les dégâts et la zone d'effet sont doublés. Un lance-missile requiert 30 secondes pour être rechargé sans se déplacer.;200;20;Logiciel + Carburant (2);10 minutes OU 1 Downtime pour jusqu'à 2 missiles;10;1;2
