Nom;Emplacement;Pré-Requis;Description et effets;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Organe;-;-;Un organe neuf créé sur mesure pour remplacer un organe perdu suite à une amputation ou une condition médicale. Un organe peut représenter n'importe quelle partie du corps perdue. Toute la biomasse requise pour la création doit venir d'une biomasse-mère issue d'un prélèvement sur le destinataire. L'organe doit être greffé dans un délai de 1 mois après sa création sans quoi il se nécrose et meurt. Greffer un organe est une procédure médicale qui requiert une chirurgie de 30 minutes effectuée par un médecin, et cause une condition ''Santé : Greffe''.;450;20;Biomasse (3) + Solution nutritive (3) + Thermoplastique (2);30 minutes OU 1 Downtime;30;1;1
Clone;-;-;Un corps de remplacement créé sur mesure à partir d'un génome spécifique, idéal pour le transfert de corps (voir Sauvegarde, dans Équipement : Cybernétique). Un clone créé de la sorte est une enveloppe passive et inerte en attente d'héberger un hôte, et reproduit toutes les augmentations et améliorations biologiques du sujet au moment de sa création. Un clone peut également être créé avec des améliorations supplémentaires si les coûts de production en temps et ressources sont rencontrés. Toute la biomasse requise pour la création doit venir d'une biomasse-mère issue d'un prélèvement sur le destinataire du clone. Garder un clone en vie requiert ensuite 1 dose de Solution nutritive par activité. Le clone est entreposé dans des infrastructures spécialisées sur la station spatiale. Les améliorations cybernétiques du destinataire peuvent également être implantées si un Cybernéticien participe à la création (1 Downtime), mais aucune amélioration cybernétique n'est transférable avant l'éveil du clone.;2000;150;Biomasse (10) + Solution nutritive (10) + Thermoplastique (3) + Stéroïde (2) + Engram;1 Downtime;-;1;1
Mutualisme;Peau;Peau partiellement verdâtre ou bleutée;L'individu est altéré avec des gènes de limace, de champignons et d'algues. Il présente un épiderme verdâtre (avec possibles nuances de bleu et de jaune) contenant des cellules végétales et fongiques qui lui permettent d'absorber l'énergie solaire et les radiations. Il est immunisé aux effets et conditions Radiation et peut survivre des périodes prolongées sans s'alimenter à condition d'être exposé à des doses constantes de radiations ou de rayonnement solaire;-;-;-;-;-;-;-
Thérapie génique;Générique;-;Le génome de l'individu est soigneusement séquencé et modifié pour minimiser les anomalies génétiques pouvant nuire à la santé. Tous les gènes comportant des mutations ou des variantes néfastes sont remplacés par des gènes humains optimisés et parfois choisis pour présenter certains traits esthétiques. L'espérance de vie de l'individu est doublée et il peut endurer 1 Condition supplémentaire sans courir de risque de mort. Cette altération génétique ne comprend aucun gène étranger et est donc moins controversée chez les factions Humanistes et Transhumanistes.;-;-;-;-;-;-;-
Atavisme;Générique;Traits primitifs (écailles de poisson, crocs, pilosité accrue, etc.);Des gènes primitifs inactifs ou en dormance sont stimulés dans le génome de l'individu, augmentant ses capacités physiques. Des traits primitifs mineurs aléatoires se manifestent sur le corps du sujet. Le sujet peut également manifester des changements comportementaux. Le sujet gagne 1 point de vie (PV) supplémentaire. Le sujet est également capable d'explosions de puissance physique. Une fois par heure, il peut bénéficier de ''Force Surhumaine'' pour une action spécifique ou déclarer un effet tel que ''Force ! Je te désarme !'' ou ''Force ! Je te retiens !''.;-;-;-;-;-;-;-
Adaptation;Générique;Peau partiellement blanchâtre ou jaunâtre;Le sujet développe des adaptations spécifiques à des conditions environnementales en faisant appel à un cocktail de gênes exotiques de tardigrades, de grenouilles désertiques, de poissons arctiques et de mollusques abyssaux. Il devient immunisé aux effets des conditions environnementales suivantes : chaleur, froid, privation d'oxygène, pression. ;-;-;-;-;-;-;-
Phéromones;Générique;-;Le sujet possède des gènes de papillon, d'abeille et de rat-taupe nu, lui fournissant des glandes odorantes qui produisent un parfum indétectable et hypnotique pour les êtres humains biologiques. Après une conversation de 5 minutes, il peut provoquer l'effet ''Drogue : Charme. Tu acceptes de me rendre la faveur X.'' et ainsi rendre le sujet vulnérable à une suggestion de sa part. La suggestion doit avoir été mentionnée dans la conversation. Le sujet affecté traite alors le porteur des phéromones comme un ami proche et accepte de lui rendre une faveur raisonnable, comme une avance d'argent, un rabais sur un produit (20% ou 100 crédits max.), de l'accompagner dans une mission qui touche à son champ de compétence ou de parler en sa faveur à un de ses contacts. Il n'acceptera pas de se ruiner, d'agir contre ses convictions ou de mettre sa vie en danger. Si le sujet utilise ses phéromones sur une personne, cette dernière devient immunisée à ses charmes jusqu'au cycle suivant. Si la faveur demandée requiert plus de 2 heures à être exécutée, ou si elle s'avère moins raisonnable qu'initialement exprimée, la cible du charme est en possibilité de revenir sur sa décision, mais elle ne remarquera pas avoir été sous l'effet d'une drogue.;-;-;-;-;-;-;-
Compression;Squelette;-;Le sujet est altéré avec des gènes de raies, de pieuvres et de poissons abyssaux pour rendre des sections de son squelette anormalement souples et flexibles, à la façon d'un cartillage. Il peut passer son corps entier dans n'importe quel espace assez gros pour laisser passer son poing, bien qu'un tel exploit de compression requiert 1 minute d'efforts. Il peut également se libérer instantanément de n'importe quels liens ou menottes, et est immunisé aux effets ''Brise membre'' en raison de ses os flexibles. ;-;-;-;-;-;-;-
Greffon exotique ;Bras;Bras et main d'apparence inhumaine (exosquelette, griffes, pointes, appendices multiples, etc.) + Chrysalide Ltd.;Le sujet possède un greffon créé sur mesure en laboratoire à partir de matériel génétique hautement hybridé. Ce bras inhumain contient une variété de tissus exotiques, souvent d'origine invertébrée, lesquels sont altérés avec des gènes humains pour rendre la greffe possible. Ce bras inflige des dégâts en mêlée comme s'il s'agissait d'une arme courte. Le sujet est également capable de bloquer des attaques de mêlée avec ce bras comme s'il s'agissait d'un bouclier. Ce greffon rend toutefois le sujet dépendant aux immunosuppresseurs, de la même façon que les sujets bénéficiant d'une augmentation cybernétique. Cette augmentation est réservée aux employés de Chrysalide Ltd.;-;-;-;-;-;-;-
Symbiose;-;Mutualisme;Les gènes étrangers du sujet se manifestent avec une vivacité accrue. Il développe des nodules végétales et fongiques symbiotiques qui capturent et métabolisent les toxines pour s'en nourrir. Une fois par heure, le sujet peut choisir d'ignorer ou de guérir un effet ou condition Toxine ou les effets d'une Drogue. Il doit alors annoncer ''Résiste!'' s'il s'agit d'un effet instantané. Il est également immunisé aux effets environnementaux causés par des toxines diffuses. ;1500;100;Biomasse (5) + Culture cellulaire (3) + Antitoxine (2) + Base (2) + Nanotubes;30 minutes (dont 20 minutes d'installation) OU 1 Downtime;30;1;1
