Nom;Pré-Requis;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Culture bactérienne (Maladie);Contenant identifié CBA + liquide jaune;Une culture bactérienne est une composante de base en bioscience qui peut également servir à causer une infection mineure si ingérée ou injectée à la victime par un Secouriste. Elle cause alors un effet ''Maladie : Migraine et nausée pendant 1 heure''. Cette culture est soluble dans l'eau.;90;20;Biomasse;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Culture virale (Maladie);Contenant identifié VIR + liquide transparent;Une culture virale est une composante de base en bioscience qui peut également servir à causer une infection mineure si ingérée ou injectée à la victime par un Secouriste. Elle cause alors un effet ''Maladie : Toux et éternuement pendant 1 heure''. Cette culture est soluble dans l'eau. ;90;20;Biomasse;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Culture cellulaire (Médicament);Contenant identifié CELL + liquide transparent;Une culture cellulaire est une source universelle de nutriment capable d'être digérée par n'importe qu'elle Biomasse-mère, peu importe sa nature. Elle sert de substitut en cas de manque de biomasse appropriée pour nourrir la culture.;100;25;Biomasse;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Biogel (Médicament);Contenant identifié BIO + liquide vert;Ce médicament composite stabilise la condition du patient et restaure rapidement les tissus endommagés une fois injecté. Une dose de Biogel soigne instantanément 3 points de vie.;150;25;Biomasse + Cryofluide;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Bactériophage (Médicament);Contenant identifié BAC + liquide transparent;"Ce médicament est nécessaire pour combattre les maladies et infections d'origine bactériologique les plus rares et les plus sévères qu'un antibiotique ne peut guérir. Il est utilisé pour traiter les conditions de type ''Maladie'' de ce type.
";200;20;Culture virale + Solution nutritive;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Neurotoxine (Toxine);Contenant identifié NEU + liquide bleu;Cette toxine paralyse les muscles de la victime au contact, causant des engourdissements localisés, voire une paralysie complète si administrée par intraveineuse. Appliquée sur un linge ou une arme de mêlée, cette toxine inflige au contact un effet ''Toxine: Paralysie: Tu ne peux pas utiliser ton membre pour 5 minutes''. Alternativement, la toxine peut être injectée par un Secouriste avec une seringue pour un effet ''Toxine : Paralysie totale : 5 minutes''. La toxine doit être utilisée dans la prochaine heure après avoir été appliquée.;200;20;Biomasse + Acide (2) ;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Phototoxine  (Toxine);Contenant identifié PHO + liquide jaune;Cette toxine attaque les réflexes oculaires de la victime et la rend extrêmement facile à éblouir. Injectée par un Secouriste ou appliquée sur une arme de mêlée, elle cause une condition ''Toxine : Neurotoxine'' et un effet instantané de ''Toxine : Aveuglement, 1 minute''. Après l'aveuglement initial, la victime se verra incapable de regarder directement une source lumineuse ou de lever les yeux du sol par une journée ensoleillée. La toxine doit être utilisée dans la prochaine heure après avoir été appliquée.;200;10;Biomasse + Inhibiteur sensoriel + Platine;5 minutes OU 1 Downtime;5;1;1
Vecteur Viral (Maladie);Contenant identifié VV + liquide violet;Ce virus en apparence bénin est capable d'altérer de façon significative l'ADN de sa victime. Injecté par un secouriste ou ingéré, un vecteur viral altère l'ADN de la cible, causant une condition ''Maladie : Altération génétique''. Une telle maladie modifie la signature génétique du sujet, qui n'est alors plus reconnu par les sécurités biométriques ou les tests génétiques. Si la cible possède des augmentations biologiques, des complications médicales supplémentaires peuvent rapidement subvenir, comme des cancers, des rejets, des réactions allergiques ou elle peut même être détectée comme une Chimère aux yeux de la loi. Cette culture virale est soluble dans l'eau.;200;10;Culture virale + Biomasse;5 minutes OU 1 Downtime;5;1;1
Agro Virus (Maladie);Contenant identifié AGR + liquide rouge;Ce virus stimule les comportements d'agression et inhibe simultanément les réflexes d'auto-préservation et de contrôle de soi chez la victime. Si blessée en combat, victime perdra automatiquement le contrôle pour attaquer toute cible à proximité. Appliquée sur un linge au contact ou ingérée, la cible reçoit une condition ''Maladie : Agro Virus''. Le virus doit être utilisé dans la prochaine heure après avoir été appliqué. Cette culture virale est soluble dans l'eau.;250;10;Culture virale + Psychotrope + Acide;10 minutes OU 1 Downtime;10;1;1
Hémorragique (Toxine);Contenant identifié HEM + liquide rouge;Cette toxine éclaircit drastiquement le sang de la victime, causant des saignements significatifs même en cas de blessures mineures. Si injectée par un Secouriste ou appliquée sur une arme de mêlée, cette toxine cause une Condition ''Toxine : Hémorragique''. La toxine doit être utilisée dans la prochaine heure après avoir été appliquée.;250;10;Biomasse (2) + Acide (2);10 minutes OU 1 Downtime;10;1;1
Histamine (Toxine);Contenant identifié HIS + liquide jaune;Cette toxine cause une réaction allergique extrême et potentiellement mortelle si ingérée ou injectée par un Secouriste. La cible est alors affectée par une condition ''Toxine : Réaction allergique''. Cette toxine est soluble dans l'eau.;250;10;Biomasse (2) + Base (2);10 minutes OU 1 Downtime;10;1;1
Pandemia (Maladie);Contenant identifiée CON + liquide orange;Cette souche virale bénigne est extrêmement tenace et contagieuse. Conçue pour ravager des populations vulnérables ou affaiblir la résistance immunitaire d'une région donnée, il s'agit d'une maladie qui se propage par simple contact ou proximité. Si une culture Pandemia est ouverte après sa création, elle sera inhalée par toutes les personnes à moins de 1 mètre, les infectant avec une condition ''Maladie : Pandémie''. Les effets de cette maladie se limitent à une fièvre légère, une toux et des éternuements. Tous les infectés transmettent la condition au contact ou s'ils demeurent à moins de 1 mètre d'une cible pendant plus de 5 minutes.;250;20;Culture virale + Immunosuppresseur;10 minutes OU 1 Downtime;10;1;1
Omniphages (-);Contenant identifié OMN + liquide brun;Ces bactéries extrémophiles peuvent digérer n'importe quelle substance inorganique en un temps record et l'utiliser pour se multiplier. Elles sont toutefois neutralisées rapidement par le système immunitaire des organismes vivants. Appliquée à un objet inerte, une culture d'omniphage sera en mesure de le détruire entièrement après 1 heure. Une culture d'omniphages peut même saboter de grandes structures avec suffisamment de temps sans intervention extérieure pour les arrêter. Un biotechnicien peut ensuite récupérer suffisamment d'omniphages des débris pour reconstituer une dose d'omniphages après 5 minutes de collecte. Appliquée sur un androïde au contact, l'omniphage cause une condition ''Blessure : Omniphages'' après chaque heure passée sans traitement, causant rapidement la destruction complète de la victime. ;300;25;Culture bactérienne (2) + Uranium (2);10 minutes OU 1 Downtime;10;1;1
