Nom;Emplacement;Pré-Requis;Description et effets;Si défectueux (en plus de la perte de bonus);Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Bras bionique;Bras;Bras et main dissimulés ou robotiques;Le cyborg possède un bras robotisé. Il peut augmenter de +1 ses dégâts avec les armes de mêlée tenues avec ce bras 3 fois par heure, et ne peut pas être désarmé des objets tenus avec ce bras. Il doit annoncer ''Résiste'' si affecté par un effet de désarmement. ;Bras inutilisable (pend mollement), désarmement;-;-;-;-;;;
Canon intégré ;Bras;Avant-bras avec tubes, séparation claire du poignet (gant, ligne de maquillage, etc.);L'avant-bras du cyborg contient un canon à calibre lourd capable de tirer un projectile dévastateur à courte portée. Chaque tir inflige 3 dégâts ''repousse'' à une distance de 3 mètres. Recharger le canon requiert 2 minutes de travail hors-combat et requiert une dose de Tungstène. ;Bras inutilisable (pend mollement), désarmement;-;-;-;-;;;
Stabilisateur triaxial;Bras;Bras et main dissimulés ou robotiques;Si le cyborg ne se déplace pas pendant qu'il fait feu avec son arme, son bras mesure et stabilise le recul de son arme pour maximiser ses attaques. Il inflige alors 2 dégâts (+ bonus d'équipement) avec les armes à feu. Le joueur doit garder les pieds immobiles et fermement plantés au sol pour bénéficier des effets de cette augmentation.  ;Bras inutilisable (pend mollement), désarmement;-;-;-;-;;;
Interface neurale;Cerveau;Prothèse au niveau de la tempe ou de la nuque;Le cyborg peut accéder à ses propres souvenirs à la façon d'un film enregistré dans sa mémoire, lui permettant de revisiter des événements flous ou oubliés en raison de l'inconscience ou d'autres effets. Il dispose d'un système de géolocalisation et peut également se connecter directement à l'Extranet sans besoin d'une interface physique, et peut même se connecter à un serveur de réalité virtuelle sans besoin de drogues ou d'infrastructures particulières. De plus, la compétence Informatique requiert seulement 2 minutes à utiliser. ;"Gagne une condition ""Défectuosité: Dérèglement mental""";-;-;-;-;;;
Filet neural;Générique;-;Le système nerveux du cyborg est augmenté par des connexions électroniques redondantes le rendant capable de performer normalement même sous des conditions extrêmes. Il est immunisé à tout effet ou condition compromettant sa dextérité fine, de même qu'aux effets de Paralysie. ;"Gagne une condition ""Défectuosité: Dérèglement mental""";-;-;-;-;;;
Organes synthétiques;Générique;-;Un ou plusieurs organes importants du cyborg sont en fait des implants artificiels. Si l'état de santé du cyborg se dégrade ou s'il est blessé, il lui est possible de procéder une fois par cycle à l'entretien de ses organes artificiels auprès d'un cybernéticien, de la même façon qu'avec un examen médical issu de la compétence Médecine. Les effets peuvent être cumulés, et la guérison issue de l'entretien cybernétique survient dès la fin de l'examen (récupère 3 points de vie). Il lui est également possible de défausser n'importe quelle carte Condition : Toxine, Radiation ou Maladie au prix d'une action de Downtime correspondant à un entretien en profondeur de ses organes. ;"Gagne une condition ""Défectuosité: Dérèglement physique""";-;-;-;-;;;
Turbines vasculaires;Générique;-;Le coeur du cyborg a été remplacé par des turbines distribuées à travers son système vasculaire. Le cyborg n'a pas de pouls et peut consciemment contrôler son flot sanguin. Il peut ainsi demeurer conscient à 0 point de vie et même parler en chuchotant, bien qu'il ne puisse pas bouger, et soit tout de même affecté par la règle de péril. De plus, il lui est possible de délayer tous les effets de type Toxine jusqu'à 15 minutes en isolant les toxines dans une partie de son système vasculaire.;"Gagne une condition ""Défectuosité: Dérèglement physique""";-;-;-;-;;;
Jambe bionique;Jambe;Jambe et pied dissimulés ou robotiques;Le cyborg possède une jambe robotisée. Il peut garder son équilibre si affecté par des dégâts de type repousse, plutôt que de tomber par terre à la fin du déplacement. Si le cyborg possède aussi l'augmentation Bras bionique, il gagne Force surhumaine. ;Jambe inutilisable (pend mollement);-;-;-;-;;;
Oeil bionique;Oeil;Lentille ou prothèse près de l'oeil;Le cyborg possède une vision supérieure. Il peut percevoir l'invisible, bien qu'il ne puisse pas par exemple distinguer les traits d'une personne dissimulée. De plus, l'oeil est capable de zoomer au niveau macro. Il peut également scanner les marqueurs thermiques dans un cône de 20 mètres. Un tel scan prend 15 secondes passées immobile, et permet d'annoncer l'effet ''Détection thermique'' à toute personne, créature ou machine de taille humanoïde présente dans la zone d'effet. Utiliser ce scan plus d'une fois par 15 minutes inflige 1 dégât choc au porteur. ;Aveuglement;-;-;-;-;;;
Endoderme synthétique;Peau;Maquillage ou prothèse d'apparence artificielle;La peau du cyborg a été partiellement remplacée par des couches de nanomatériaux synthétiques. Sa peau est considérée comme une armure conférant 2 points d'armure (PA), mais elle doit être réparée par une personne possédant la compétence Cybernétique. Ces PA comptent aussi sur le total de PA lorsqu'une armure externe est portée.;Aucune perte de bonus;-;-;-;-;;;
