Nom;Pré-Requis;Description et effets;Si défectueux (en plus de la perte de bonus);Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Visée assistée;Un fusil + lunettes ou casque + Intelligence embarquée;Si le tireur rate une cible avec au moins trois tirs consécutifs, son Intelligence embarquée calcule une trajectoire de tir optimal, de sorte que le prochain tir à toucher la cible inflige +1 dégât. Ce bonus est cumulable avec les autres bonus d'équipement.;-1 dégât avec l'arme à feu défectueuse pour la durée (min.1);500;85;Logiciel (2) + Rhodium (3) + Platine (3);15 minutes (dont 5 min. d'installation) ou 1 Downtime;15;1;1
Amélioration de bouclier : recharge;Un générateur de bouclier;La vitesse de recharge du bouclier énergétique est réduite de 10 secondes (min.5 secondes). Maximum de 1 amélioration de bouclier par générateur.;N/A;750;250;Yttrium (5) + Rhodium (3) + Logiciel;10 minutes (dont 5 min. d'installation) ou 1 Downtime;10;1;1
Amélioration de bouclier : capacité;Un générateur de bouclier;Augmente de 2 PBE la capacité maximale du bouclier énergétique. Maximum de 1 amélioration de bouclier par générateur.;N/A;750;250;Supraconducteur + Platine (4);10 minutes (dont 5 min. d'installation) ou 1 Downtime;10;1;1
Amélioration de bouclier : nova;Générateur de bouclier lourd;"Lorsque les PBE du générateur tombent à 0, le générateur peut produire une onde de choc qui inflige 2 ''repousse"" à 2 mètres de rayon autour du porteur. Cet effet est utilisable jusqu'à 2 fois par combat. Après un second usage dans le même combat, le bouclier cesse de se recharger pour 5 minutes le temps de se recalibrer. Maximum de 1 amélioration de bouclier par générateur.";N/A;750;100;Prométhium (6) + Yttrium (5);10 minutes (dont 5 min. d'installation) ou 1 Downtime;10;1;1
Système de survie de base;Un masque à gaz, casque fermé ou masque protecteur;Un système de protection respiratoire avancé confère au porteur une résistance au manque d'oxygène, aux gaz et autres effets respiratoires. Par exemple, le porteur est protégé des effets des Aérosols chimiques et des Grenades chimiques.;N/A;750;100;Nanotubes (2) + Thermoplastique (2);10 minutes (dont 5 min. d'installation) ou 1 Downtime;10;1;1
Intelligence embarquée;Une armure;Le porteur peut installer une intelligence artificielle sophistiquée dans son armure pour l'assister au combat et l'accompagner au quotidien. Il dispose alors d'un système de géolocalisation et peut enregistrer des données, sons et images sur commande vocale. Le porteur devient vulnérable au piratage.;-;750;115;IA + Yttrium (2);20 minutes (dont 15 min. d'installation avec un Programmeur) ou 1 Downtime;20;1;1
Armement voltaïque;Une arme de mêlée;L’arme peut être chargée avec une Batterie pour infliger des dégâts ‘’choc’’.  Après avoir été utilisée pour 6 coups, la batterie est vide et doit être rechargée. Installer une batterie dans une arme prend 2 minutes hors-combat.;N/A;750;150;Yttrium (6) + Tungstène (3) + Thermoplastique (4);15 minutes ou 1 Downtime;15;1;1
Projecteur plasmique;Un fusil;L’arme peut être chargée avec du Carburant pour projeter une décharge incendiaire. L’attaque touche une cible à 5 mètres et inflige 3 dégâts ''brûle''. Recharger l’arme avec une nouvelle dose de carburant prend 2 minutes hors-combat.;N/A;750;150;Supraconducteur + Zirconium (4) + Acide (2);15 minutes ou 1 Downtime;15;1;1
Modules de santé;Une armure + Intelligence embarquée;L’armure peut être chargée avec une dose de Biogel qui est administrée au porteur aussitôt qu’il tombe en péril (0 point de vie). Recharger l’armure avec une nouvelle dose de biogel prend 2 minutes hors-combat. Permet également au porteur de diagnostiquer lui-même son état de santé avec les compétences appropriées et l'assistance de son Intelligence embarquée.;"Gagne une condition ""Santé"" aléatoire";750;100;Logiciel (2) + Rhodium (5) + Plastoïde;20 minutes (dont 15 min. d'installation avec un Médecin) ou 1 Downtime;20;1;1
Capteurs avancés;Lunettes ou casque;Permet la détection passive de l’invisibilité. Ne permet toutefois pas de reconnaître les traits d’une personne invisible.;N/A;1100;150;Logiciel (4) + Rhodium (9) + Beryllium (6);15 minutes ou 1 Downtime;15;1;1
