Nom;Pré-Requis;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Antibiotique (Médicament);Contenant identifié* AB + pilule;Ce médicament est nécessaire pour combattre les maladies et infections d'origine bactériologique. Il est utilisé pour traiter les conditions ''Maladie'' de ce type.;100;25;Biomasse;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Antiviral (Médicament);Contenant identifié* AV + pilule;Ce médicament est nécessaire pour combattre les maladies et infections d'origine virale. Il est utilisé pour traiter les conditions ''Maladie'' de ce type.;100;35;Base;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Immunosuppresseur (Médicament);Contenant identifié* IM + pilule;Ce médicament est nécessaire aux cyborgs pour combattre le rejet de leurs implants cybernétiques, et peut également servir en cas de greffe ou pour traiter certaines maladies auto-immunes. Un cyborg doit consommer 1 dose d'immunosuppresseur par cycle sans quoi il gagne une condition de type ''Santé : Rejet'' liée au rejet de ses implants. Ce malus est cumulable. ;80;50;-;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Analgésique (Drogue);Contenant identifié* AN + liquide;"Cette drogue supprime la sensation de douleur chez le sujet et est utilisée aussi bien pour les opérations chirurgicales que comme drogue de combat. Ingérée, la drogue prend 5 minutes à agir et supprime la sensation de douleur chez le sujet pour une durée de 1 heure. Injectée, la drogue prend effet instantanément, supprime la sensation de douleur et confère 3 points de vie temporaires pour une durée de 15 minutes. Le sujet est aussi immunisé à l'effet de souffrance associé aux dégâts ''brûle'' (mais pas aux dégâts). Il doit annoncer ''Résiste'' lorsqu'il reçoit des dégâts ""brûle"".";100;35;Base;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Sédatif (Drogue);Contenant identifié* SD + liquide;Cette drogue engendre une perte de conscience similaire à un sommeil profond. À moins d'être affectée par un analgésique, la victime reprend conscience si elle subit des dégâts. Ingérée, la drogue prend 5 minutes à agir, et l'inconscience persiste pour une durée de 30 minutes, infligeant un effet ''Drogue : Inconscience  pendant 30 minutes d'ici 5 minutes''. Injectée, la drogue prend effet instantanément avec pour effet ''Drogue : Inconscience pendant 5 minutes''. Si chargée dans un aérosol ou une grenade chimique, la drogue inflige un effet ''Drogue : Inconscience pendant 5 minutes d'ici 1 minute''. Cette drogue est soluble dans l'eau.;200;15;Acide + Antitoxine;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Amnésique (Drogue);Contenant identifié* AM + liquide;Cette drogue provoque une perte de mémoire, suivie d'une période de confusion. Ingérée ou chargée dans un aérosol, la drogue provoque immédiatement un effet  ''Drogue : Oubli des 10 dernières minutes ET Confusion pendant 2 minutes''. Cette perte de mémoire efface tous les détails de la dernière scène, incluant la consommation de la drogue et le moment de confusion. En cas de doute sur les événements oubliés, veuillez consulter l'équipe d'animation. Cette drogue est soluble dans l'eau. ;150;20;Psychotrope + Base;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Radiosuppresseur (Médicament);Contenant identifié* RS + pilule;Ce médicament est nécessaire pour combattre les effets négatifs et les dommages causés par les radiations.  Il est utilisé pour traiter les conditions de type ''Radiation'', de même que d'autres effets négatifs associés à ces détériorations. Consommé préventivement, ce médicament permet également d'ignorer 1 effet ''Radiation'' pendant la prochaine heure. Cet effet n'est pas cumulable.;100;75;-;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Adrénaline (Drogue);Contenant identifié* AD + liquide;Cette drogue versatile est souvent utilisée sur le champ de bataille. Injectée dans une personne inconsciente, la drogue force immédiatement le sujet à se réveiller et lui restaure 1 point de vie s'il était à 0. Avec injection, cette drogue permet également à une personne consciente d'ignorer les pénalités physiques issues de ses cartes conditions pendant une durée de 15 minutes, mais augmente son agressivité.;60;45;-;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Antitoxine (Médicament);Contenant identifié* AT + pilule;Ce médicament est nécessaire pour combattre les effets négatifs causés par les toxines. Il est utilisé pour traiter les conditions de type ''Toxine''. Un antitoxine peut également être utilisé préventivement pour purifier un volume de liquide de 2 litres ou moins de toute toxine, poison ou drogue. ;100;35;Base;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
Stéroïde (Drogue);Contenant identifié* ST + liquide;Cette drogue dangereuse augmente la force physique du sujet, mais est hautement addictive. Injectée, la drogue confère un bonus de +1 aux dégâts de mêlée pendant 15 minutes. Si plus d'une dose est consommée pendant un cycle, le sujet développe une dépendance et reçoit une condition ''Toxine : Addiction''. Si deux doses sont injectées de façon successive, la drogue confère alors additionnellement Force surhumaine, mais le sujet perd conscience pendant 5 minutes lorsque les effets se dissipent. ;120;-;Acide + Biomasse;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3
