Nom;Pré-Requis;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Logiciel;Plaque identifiée L0;Composante importante nécessaire à la fabrication de multiples pièces d'équipement.;50;30;-;5 minutes OU 1 Downtime pour jusqu'à 3 unités;5;1;3
IA;Plaque identifiée IA;Une intelligence artificielle de base, prête à recevoir des instructions particulières, émuler une conscience ou faire partie intégrante d'une pièce d'équipement.;400;50;Multi-stockage + Antivirus : Quarantaine + Logiciel;20 minutes OU 1 Downtime;20;1;1
Numérisateur de conscience;Boîte ou caisson identifié NC;Appareil qui peut convertir une conscience humaine en Conscience virtuelle, puis la transférer directement sur un serveur Extranet. La conversion demande une connexion constante de 30 minutes à l'appareil, et pendant ce temps un cyberpsychologue doit poser une batterie de questions pour s'assurer que la conscience dans son entièreté est numérisée. La cible de la numérisation doit être consentante.;150;-;Logiciel + Rhodium (2);10 minutes OU 1 Downtime;10;1;1
Modulateur de bouclier;Plaque identifiée MB;Une fois installé, un modulateur de bouclier accélère la vitesse de recharge d'un bouclier énergétique de 5 secondes (min. 5 secondes) pour la prochaine heure. L'installation de ce programme est instantanée. ;100;25;Logiciel;5 minutes OU 1 Downtime pour jusqu'à 3 unités;5;1;3
Multi-stockage;Plaque identifiée MS;Ce programme est réservé aux androïdes. Il crée des copies mémorielles en temps réel pour assurer que l'androïde ne perdre pas d'informations advenant une désactivation imprévue. L'androïde n'oublie rien lorsqu'il tombe inconscient. Il n'est toutefois pas immunisé aux oublis qui font partie d'une condition ou d'un antivirus. Ce programme demeure actif pour toute la durée de l'événement.;100;25;Logiciel;5 minutes OU 1 Downtime pour jusqu'à 3 unités;5;1;3
Analyse métabolique;Plaque identifiée AM;Un analyseur métabolique est une application qui permet aux personnes sous médication de maximiser leurs doses en modulant leur consommation à leurs besoins corporels spécifiques. Une fois équipé de ce programme, un patient peut rater 1 dose par dépendance (ex: Anti-Grav, Immunosuppresseur) par événement sans recevoir de condition négative. ;400;30;Logiciel (5);10 minutes (dont 5 minutes d'installation avec un Médecin);10;1;1
Rectification dynamique;Plaque identifiée RD;Ce programme est réservé aux androïdes. Il permet à l'androïde remplacer une de ses compétences, sauf augmentations robotiques, entre deux activités en dépensant 1 action de Downtime avec un Programmeur.;250;40;Multi-stockage + Logiciel;10 minutes OU 1 Downtime;10;1;1
Analyste financier;Plaque identifiée AF;Un analyste financier est une IA capable de procéder à des placements rentables sur le marché en prenant des décisions financières de haute précision et en analysant les données économiques pour le compte de son propriétaire pour optimiser ses placements. Après l'activation d'un analyste financier, son propriétaire gagne passivement une plus value de 5% sur le contenu de son compte bancaire entre chaque événement (calculé après dépenses de Downtime et avant toute entrée salariale). Si le propriétaire d'un analyste financier travaille pour le Groupe Insta-Vie, il peut effectuer des placements spéculatifs pour obtenir une plus value de 10%. Les gains financiers sont accumulés dans un compte secondaire. Retirer des fonds de ce compte requiert 1 action de Downtime.;750;20;IA + Analyseur de paquet;20 minutes (dont 15 minutes avec l'assistance d'un Commerçant) OU 1 Downtime;20;1;1
Pilote automatique;Boîte ou caisson identifié PA;Un pilote automatique est une IA capable de remplacer un pilote dans n'importe quel voyage. Le propriétaire de l'IA doit toutefois participer au voyage sans quoi l'IA refuse de voler. Si l'IA a été créé par un employé de Goodman Industries et est sous le contrôle d'un employé de la mégacorporation, l'IA possède aussi les compétences Entrainement militaire et Informatique, lui permettant de contrôler elle-même les systèmes de combat de la navette et de collecter des informations sur la destination de chaque mission. Il est possible de transférer la propriété d'un Pilote automatique avec 1 heure de travail ou 1 action de Downtime avec un Programmeur et le nouveau propriétaire. Le propriétaire doit consentir verbalement au transfert, sans quoi l'IA deviendra corrompue et inopérante.;2500;450;IA + Rectification dynamique + Supraconducteur + Yttrium (4) + Rhodium (4) + Logiciel (6) ;45 minutes (dont 10 minutes avec l'assistance d'un Pilote) OU 1 Downtime;45;1;1
Hameçonnage;Plaque identifiée H1;Ce programme vous permet d'envoyer un courriel au nom de quelqu'un d'autre, avec une adresse courriel légèrement différente (ex: prenom.nom.2@horizon) (venir voir l'équipe d'animation). La réponse vous sera transférée par courriel. Utilisable seulement par un personnage ayant la compétence Piratage simple.;40;30;-;5 minutes OU 1 Downtime pour jusqu'à 3 unités;5;1;3
